"measure","Area","Sex","age","Year","val","upper","lower"
"HALE (Healthy life expectancy)","Devon","Male","<1 year",2005,68.75198826,71.27004318,65.76188407
"HALE (Healthy life expectancy)","Devon","Female","<1 year",2005,70.61653659,73.71927112,66.99649378
"HALE (Healthy life expectancy)","Devon","Both","<1 year",2005,69.732323,72.5473875,66.40701723
"HALE (Healthy life expectancy)","Gloucestershire","Male","<1 year",2005,68.51889112,71.02239946,65.56208413
"HALE (Healthy life expectancy)","Gloucestershire","Female","<1 year",2005,70.13072375,73.1697506,66.64112786
"HALE (Healthy life expectancy)","Gloucestershire","Both","<1 year",2005,69.3716911,72.11310979,66.09391275
"HALE (Healthy life expectancy)","Somerset","Male","<1 year",2005,68.64399446,71.22414509,65.77791604
"HALE (Healthy life expectancy)","Somerset","Female","<1 year",2005,70.30716308,73.33841826,66.84184061
"HALE (Healthy life expectancy)","Somerset","Both","<1 year",2005,69.5207425,72.33575443,66.36638416
"HALE (Healthy life expectancy)","Suffolk","Male","<1 year",2013,69.71837396,72.41913386,66.66308935
"HALE (Healthy life expectancy)","Suffolk","Female","<1 year",2013,70.92447809,74.07253923,67.17941575
"HALE (Healthy life expectancy)","Suffolk","Both","<1 year",2013,70.34205645,73.28837181,66.96316875
"HALE (Healthy life expectancy)","Essex","Male","<1 year",2013,69.43858231,72.02794675,66.41685177
"HALE (Healthy life expectancy)","Essex","Female","<1 year",2013,70.59637644,73.67615478,66.97898699
"HALE (Healthy life expectancy)","Essex","Both","<1 year",2013,70.04482795,72.83946861,66.77113847
"HALE (Healthy life expectancy)","Cambridgeshire","Male","<1 year",2013,69.86878059,72.52647598,66.75452316
"HALE (Healthy life expectancy)","Cambridgeshire","Female","<1 year",2013,71.34799813,74.50661944,67.7127495
"HALE (Healthy life expectancy)","Cambridgeshire","Both","<1 year",2013,70.63870945,73.46491097,67.17689862
"HALE (Healthy life expectancy)","North Yorkshire","Male","<1 year",2001,67.35529746,69.80614712,64.49306223
"HALE (Healthy life expectancy)","North Yorkshire","Female","<1 year",2001,69.36037962,72.3316905,65.8604761
"HALE (Healthy life expectancy)","North Yorkshire","Both","<1 year",2001,68.40982053,71.12301812,65.1904322
"HALE (Healthy life expectancy)","Northamptonshire","Male","<1 year",2001,66.78951544,69.22810317,64.0202176
"HALE (Healthy life expectancy)","Northamptonshire","Female","<1 year",2001,68.95792052,71.97439668,65.60261037
"HALE (Healthy life expectancy)","Northamptonshire","Both","<1 year",2001,67.90147056,70.61435161,64.8399988
"HALE (Healthy life expectancy)","Warwickshire","Male","<1 year",2001,67.02440234,69.51934529,64.24116317
"HALE (Healthy life expectancy)","Warwickshire","Female","<1 year",2001,69.32166141,72.2450066,65.86284024
"HALE (Healthy life expectancy)","Warwickshire","Both","<1 year",2001,68.20769671,70.89517078,65.08597641
"HALE (Healthy life expectancy)","Worcestershire","Male","<1 year",2001,67.14125885,69.54761838,64.30219078
"HALE (Healthy life expectancy)","Worcestershire","Female","<1 year",2001,68.93680636,71.88730727,65.50873713
"HALE (Healthy life expectancy)","Worcestershire","Both","<1 year",2001,68.07323428,70.73957911,64.94658688
"HALE (Healthy life expectancy)","Staffordshire","Male","<1 year",2001,66.60056377,68.94648611,63.81081111
"HALE (Healthy life expectancy)","Staffordshire","Female","<1 year",2001,68.75803751,71.57333887,65.42280224
"HALE (Healthy life expectancy)","Staffordshire","Both","<1 year",2001,67.70270041,70.2654621,64.63701805
"HALE (Healthy life expectancy)","Hampshire","Male","<1 year",2014,70.04721734,72.75024151,66.82533256
"HALE (Healthy life expectancy)","Hampshire","Female","<1 year",2014,71.15955628,74.38872951,67.36109695
